,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err
204,34507973,131475,-2.39,144.98,0.3,58369.83300749986,EHE,GOLD,2.2800000000000002,3.6900000000000004
205,57977901,131477,26.94,141.37,0.533,58370.60418386328,GFU,BRONZE,1.88,2.3200000000000003
206,27561842,131519,32.84,258.4,0.478,58380.06513011518,GFU,BRONZE,1.69,2.98
207,39194539,131602,1.23,77.08,0.267,58399.77940579056,GFU,BRONZE,2.3899999999999997,6.24
208,12296708,131624,-34.95,225.22,0.386,58405.49466518118,HESE,BRONZE,3.01,4.0
209,53411354,131653,-8.42,270.18,0.153,58414.69273902958,EHE,GOLD,2.6799999999999997,3.5999999999999996
210,63430929,131653,21.54,78.27,0.427,58414.73594511725,GFU,BRONZE,1.8900000000000001,2.68
211,47815348,131746,18.84,6.02,0.438,58436.94464815189,GFU,BRONZE,1.85,3.87
212,48222919,131764,11.72,25.71,0.537,58442.70870605052,GFU,GOLD,6.91,10.809999999999999
213,7377802,131767,51.74,324.58,0.571,58442.94364599242,GFU,BRONZE,16.23,16.78
214,80926380,131768,32.93,132.19,0.645,58443.57996791468,GFU,GOLD,7.76,14.33
215,38717715,131913,-31.0,316.41,0.459,58464.08522982179,HESE,BRONZE,3.26,3.87
216,80110393,132043,-0.82,56.91,0.386,58496.08852740324,GFU,BRONZE,1.5699999999999998,3.04
217,9759013,132077,-32.22,307.44,0.743,58507.15549527989,HESE,GOLD,1.27,1.67
218,69441226,132128,38.78,245.08,0.533,58515.01567125964,GFU,BRONZE,1.44,1.63
219,36575563,132206,-4.14,228.25,0.738,58528.67267812246,GFU,GOLD,0.6699999999999999,1.32
220,66688965,132229,-17.0,268.59,0.55,58535.3511541588,HESE,GOLD,1.75,2.99
221,23969090,132237,19.67,155.21,0.512,58537.85004745611,GFU,BRONZE,0.72,1.3599999999999999
222,28454069,132321,3.21,81.25,0.26,58559.83187810989,GFU,BRONZE,8.0,11.870000000000001
223,70353420,132427,12.22,310.61,0.28,58583.43633810319,GFU,BRONZE,5.119999999999999,6.949999999999999
224,16335312,132437,11.72,219.33,0.292,58586.44998255463,GFU,BRONZE,1.44,2.02
225,67132865,132437,21.98,245.57,0.383,58586.66460083455,GFU,BRONZE,2.65,2.7199999999999998
226,12627143,132443,5.27,154.86,0.298,58588.43730676967,GFU,BRONZE,4.43,7.640000000000001
227,3856549,132465,17.39,166.9,0.513,58595.24979249506,GFU,BRONZE,4.5600000000000005,6.24
228,42419327,132508,6.43,120.19,0.341,58606.72440656845,EHE,GOLD,1.4300000000000002,1.32
229,766165,132518,-37.26,65.17,0.386,58607.7675740006,HESE,BRONZE,1.7000000000000002,2.8099999999999996
230,42662743,132577,12.6,127.88,0.816,58618.45061140577,GFU,GOLD,0.96,1.62
231,5635104,132684,26.57,312.19,0.606,58647.82937645641,GFU,GOLD,1.46,1.4500000000000002
232,54984442,132707,10.28,343.52,0.547,58653.5515977822,GFU,GOLD,4.779999999999999,7.29
233,5390846,132768,84.56,29.12,0.343,58663.80850834146,GFU,BRONZE,9.06,158.33
234,60166398,132792,26.9,161.81,0.486,58668.78393812659,GFU,BRONZE,3.8499999999999996,6.0600000000000005
235,44222682,132814,12.75,76.64,0.304,58676.05228456779,GFU,BRONZE,7.609999999999999,12.22
236,57145925,132910,10.77,226.14,0.67,58694.86853369251,GFU,GOLD,2.2,3.25
237,67924813,132974,1.45,148.54,0.293,58714.73222496411,GFU,BRONZE,1.6800000000000002,5.59
238,81419,133091,-22.27,167.3,0.202,58748.40469477737,EHE,GOLD,6.7,5.53
239,52499868,133092,-1.53,5.71,0.504,58748.96105979347,GFU,GOLD,1.6800000000000002,2.46
240,22683750,133119,12.79,313.99,0.59,58757.8397936808,GFU,GOLD,3.29,9.4
241,47828126,133331,3.77,229.31,0.451,58806.04270119005,GFU,GOLD,4.710000000000001,10.46
242,80807014,133348,0.07,27.03,0.329,58809.94803814533,GFU,BRONZE,2.6500000000000004,4.7
243,27261780,133394,2.87,80.16,0.326,58821.94874207213,GFU,BRONZE,2.02,4.4
244,29047901,133433,58.45,286.83,0.476,58832.46525037375,GFU,BRONZE,3.9400000000000004,4.1899999999999995
245,82361476,133572,20.11,48.47,0.464,58848.45840369244,GFU,BRONZE,8.21,13.63
246,37927131,133609,11.8,165.45,0.769,58857.98726780584,GFU,GOLD,2.4699999999999998,7.99
247,1410505,133634,29.18,116.02,0.375,58865.46423253074,GFU,BRONZE,1.67,1.98
248,43767651,133644,-14.59,67.41,0.314,58868.78354813303,GFU,BRONZE,0.5,0.71
