,Unnamed: 0,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err,TS_1.0e+03,ns_1.0e+03,p_1.0e+03,TS_1.7e+05,ns_1.7e+05,p_1.7e+05,TS_steady,ns_steady,p_steady,ra_steady,dec_steady,gamma_steady
14,14,49522606,119097,38.49,165.19,0.446,55903.71892797326,GFU,BRONZE,7.16,11.16,0.0,0.0,1.0,0.4874318002115161,0.8906168380114059,0.3788,5.047799431058056,31.897321484510332,0.54075,2.8918889691853047,0.6739768723327436,3.1406567078829415
15,15,32538906,119101,20.42,99.98,0.335,55904.45690159585,GFU,BRONZE,3.62,3.21,0.0,0.0,1.0,0.13102802012727377,0.5151283834155327,0.2232,0.42799674345637173,2.393774987539838,0.784,1.7426021689985023,0.35710218505476277,2.0587638408681594
16,16,14422170,119125,0.56,247.85,0.408,55908.39772381761,GFU,BRONZE,2.88,3.29,0.0,0.0,1.0,0.0,0.0,1.0,0.8133393212757918,19.912667233605458,0.7915,4.31436327840625,0.010418497113938267,3.5598322707059236
17,17,66932419,119136,18.88,36.74,0.946,55911.27685053114,GFU,GOLD,5.279999999999999,4.04,0.0,0.0,1.0,0.9416581705880791,1.0375971547685015,0.2192,2.146670677565341,70.46404540464441,0.7065,0.6461602289202762,0.28134879476652425,3.606479433834755
18,18,28561103,119146,7.03,26.85,0.397,55913.33542794057,GFU,BRONZE,9.24,8.35,0.0,0.0,1.0,0.0,0.0,1.0,8.141058026217998,45.73885853103854,0.24075,0.42833287165134154,0.12513507173609437,2.9411086177009254
19,19,41603205,119739,18.76,237.96,0.825,55987.80691328732,GFU,GOLD,0.98,1.15,0.0,0.0,1.0,0.0,0.0,1.0,1.2742326397101404,26.33534911035097,0.2675,4.150952012018545,0.32880963846514843,3.9014880623694483
20,20,12133428,120027,0.52,183.56,0.274,56043.41532671855,GFU,BRONZE,1.5699999999999998,4.17,0.0,0.0,1.0,0.0,0.0,1.0,5.991490030682909,40.69645516683095,0.13225,3.2180928982460166,0.015647880133875986,2.9164837834538204
21,21,22615214,120045,-71.51,165.37,0.464,56048.5704208966,HESE,GOLD,6.21,12.37,0.0,0.0,1.0,0.0,0.0,1.0,11.974123856133962,14.09111593578482,0.03525,2.8735107752889157,-1.2285871859269135,2.6923265401052796
22,22,59255331,120157,32.0,198.94,0.613,56062.95901934374,GFU,GOLD,2.06,3.12,0.0,0.0,1.0,1.4204808617443265,0.9208411770737632,0.0792,0.9740377714987609,17.41316416921849,0.52675,3.4780921413327914,0.5488581325699151,4.902481983005886
23,23,63879322,120185,26.44,171.08,0.525,56070.5742824046,EHE,GOLD,0.8300000000000001,2.07,0.0,0.0,1.0,0.0,0.0,1.0,8.331973539256037,57.3930603003171,0.01075,2.9696651248031913,0.4636298366025253,3.7767995412352087
